type,source,title,link,Notes,date,Date
Government,IRS,Final 2022 quarterly estimated tax payment due January 17,https://www.irs.gov//newsroom/final-2022-quarterly-estimated-tax-payment-due-january-17,"IR-2023-01, January 4, 2023 — Many taxpayers make quarterly estimated tax payments during the year to stay current on their taxes, but many who should overlook this step. The Internal Revenue Service today urged those who paid too little tax in 2022 to make a fourth quarter payment on or before January 17 to avoid an unexpected potential tax bill or penalty when they file in 2023. ",,"January 4, 2023"
Government,Justice Dept,Readout of Congressional Visit to the FBI’s Criminal Justice Information Services Division,https://www.justice.gov/opa/pr/readout-congressional-visit-fbi-s-criminal-justice-information-services-division,notes,idate,
Government,Justice Dept,Two North Carolina Tax Preparers Sentenced to Prison for $5 Million Tax Conspiracy,https://www.justice.gov/opa/pr/two-north-carolina-tax-preparers-sentenced-prison-5-million-tax-conspiracy,notes,idate,
Government,Justice Dept,Former Judge Arrested for Bribery and Obstruction of Justice,https://www.justice.gov/opa/pr/former-judge-arrested-bribery-and-obstruction-justice,notes,idate,
Government,Labor Dept,Charleston trampoline park pays $11K penalty after allowing  14- and 15-year-olds to work outside legally permitted hours,"https://www.dol.gov/newsroom/releases/whd/whd20230105-0
","Employer:  SC1 Summit LLC – operating as Summit Adventure Park Charleston
Investigation site: 1964 Ashley River Road, Charleston, SC 29407","January 5, 2023",
Government,Labor Dept,"US Department of Labor recovers $55K in back wages for 7 workers after Durham restaurant fails to pay overtime, denies tips left by customers","https://www.dol.gov/newsroom/releases/whd/whd20230105
","Employer:  Kandible Inc., operating as Indian Monsoon 
Investigation site: 105 W. Morgan St., Durham, NC 27701","January 5, 2023",
Government,Labor Dept,Unemployment Insurance Weekly Claims Report,"https://www.dol.gov/newsroom/releases/eta/eta20230105
","In the week ending December 31, the advance figure for seasonally adjusted initial claims was 204,000, a decrease of 19,000 from the previous week's revised level. The previous week's level was revised down by 2,000 from 225,000 to 223,000. The 4-week moving average was 213,750, a decrease of 6,750 from the previous week's revised average. The previous week's average was revised down by 500 from 221,000 to 220,500.
","January 5, 2023",
Government,Labor Dept,US Department of Labor investigation of fatal equipment rollover incident finds Texas fencing contractor exposed workers to deadly safety hazards ,"https://www.dol.gov/newsroom/releases/osha/osha20230104-2
","LUBBOCK, TX – A federal workplace safety investigation into how a 15-year-old worker tragically suffered fatal injuries while installing fencing in Guthrie has found the employer failed to follow required workplace safety standards.","January 4, 2023",
Government,Labor Dept,Investigation finds American Airlines retaliated against flight attendants  who reported worker illnesses caused by fumes in aircraft cabins,"https://www.dol.gov/newsroom/releases/osha/osha20230104-1
","FORT WORTH, TX – Federal safety and health investigators have determined that one of the nation’s largest airlines retaliated against flight attendants who reported worker illnesses caused by toxic fumes entering aircraft cabins.","January 4, 2023",
Government,Labor Dept,"US Department of Labor, Ohio craft brewing industry renew alliance  to improve workplace place safety, offer web-based training ","https://www.dol.gov/newsroom/releases/osha/osha20230104-0
","Who:          U.S. Department of Labor’s Occupational Safety and Health Administration
                  Ohio Craft Brewers Association
                  Master Brewers Association of the Americas District Midwest ","January 4, 2023",
Government,Labor Dept,"US Department of Labor renews ‘Star’ designation of Millstone Power Station for workplace safety, health achievements","https://www.dol.gov/newsroom/releases/osha/osha20230104
","Participant:   Millstone Power Station, Waterford, Connecticut.","January 4, 2023",
Government,State Dept,Under Secretary Fernandez’s Travel to Seoul and Tokyo,https://www.state.gov/under-secretary-fernandezs-travel-to-seoul-and-tokyo/,,"January 5, 2023",
Government,State Dept,On the Appointment of Sonexay Siphandone as Prime Minister of Laos,https://www.state.gov/on-the-appointment-of-sonexay-siphandone-as-prime-minister-of-laos/,,"January 5, 2023",
Government,State Dept,The United States and Türkiye Take Joint Action to Disrupt ISIS Financing,https://www.state.gov/the-united-states-and-turkiye-take-joint-action-to-disrupt-isis-financing/,,"January 5, 2023",
Government,State Dept,Rewards for Justice – Reward Offer for Information on Maalim Ayman and Others Responsible for 2020 Attack on Manda Bay Airfield in Kenya,https://www.state.gov/rewards-for-justice-reward-offer-for-information-on-maalim-ayman-and-others-responsible-for-2020-attack-on-manda-bay-airfield-in-kenya/,,"January 5, 2023",
Government,State Dept,Statement on Report by UN Group of Experts,https://www.state.gov/statement-on-report-by-un-group-of-experts/,,"January 4, 2023",
Government,State Dept,Secretary Antony J. Blinken at Launch of the U.S. Strategy on Global Women’s Economic Security,https://www.state.gov/secretary-antony-j-blinken-at-launch-of-the-u-s-strategy-on-global-womens-economic-security/,,"January 4, 2023",
Government,State Dept,U.S. Special Envoy for Yemen Lenderking’s Travel to Jordan and Saudi Arabia,https://www.state.gov/u-s-special-envoy-for-yemen-lenderkings-travel-to-jordan-and-saudi-arabia/,,"January 4, 2023",
Government,Supreme Court,title,ilink,No New Cases,idate,
Government,Transportation Dept,"Biden-Harris Administration Announces $2.1 Billion to Improve Four Nationally Significant Bridges Through the Bipartisan Infrastructure Law’s First Large Bridge Grants

",https://www.transportation.gov/newsroom/press-releases,notes,"January 4, 2023",
Government,Treasury Dept,The United States and Türkiye Take Joint Action to Disrupt ISIS Financing,https://home.treasury.gov/news/press-releases/jy1181,notes,"January 5, 2023",
Government,VA Dept,#VeteranOfTheDay Marine Corps Veteran Jay Vargas,https://news.va.gov/114162/veteranoftheday-marine-corps-jay-vargas/,notes,"January 5th, 2023",
Government,VA Dept,How to support LGBTQ+ Veterans in crisis,https://news.va.gov/114088/how-to-support-lgbtq-veterans-in-crisis/,notes,"January 5th, 2023",
Government,VA Dept,"Daily Schedule – January 5, 2023",https://news.va.gov/114552/daily-schedule-january-5-2023/,notes,"January 5th, 2023",
Government,VA Dept,#VeteranOfTheDay Air Force Veteran Sheila McGlown,https://news.va.gov/114353/veteranoftheday-air-force-sheila-mcglown/,notes,"January 4th, 2023",
Government,VA Dept,South Texas VA hosts PACT Act Week of Action event,https://news.va.gov/114303/south-texas-hosts-pact-act-week-action/,notes,"January 4th, 2023",
Government,VA Dept,Top five reasons why Veterans should consider opening a franchise,https://news.va.gov/114482/top-five-reasons-consider-franchise/,notes,"January 4th, 2023",
Government,VA Dept,"Daily Schedule – January 4, 2023",https://news.va.gov/114512/daily-schedule-january-4-2023/,notes,"January 4th, 2023",
Government,White House,"Readout of National Security Advisor Jake Sullivan’s Call with Francesco Talo, Diplomatic Advisor to the Prime Minister of Italy			",https://www.whitehouse.gov/briefing-room/statements-releases/2023/01/05/readout-of-national-security-advisor-jake-sullivans-call-with-francesco-talo-diplomatic-advisor-to-the-prime-minister-of-italy/,notes,"January 05, 2023",
Government,White House,"Press Release: Bills Signed: H.R. 680, H.R. 897, H.R. 1082, H.R. 1154, H.R. 1917, H.R. 7939, S. 450, S. 989, S. 1294, S. 1402, S. 1541, S. 1942, S. 2333, S. 2834, S. 3168, S. 3308, S. 3405, S. 3519, S. 3946, S. 3949, S. 4104, S. 4120, S. 4240, S. 4411, S. 4439, S. 4926, S. 4949, S. 4978, S. 5016, S. 5066, S. 5087, S. 5168, S. 5328, S. 5329			",https://www.whitehouse.gov/briefing-room/legislation/2023/01/05/press-release-bills-signed-h-r-680-h-r-897-h-r-1082-h-r-1154-h-r-1917-h-r-7939-s-450-s-989-s-1294-s-1402-s-1541-s-1942-s-2333-s-2834-s-3168-s-3308-s-3405-s-35/,notes,"January 05, 2023",
Government,White House,Remarks by President Biden in Cabinet Meeting			,https://www.whitehouse.gov/briefing-room/speeches-remarks/2023/01/05/remarks-by-president-biden-in-cabinet-meeting-3/,notes,"January 05, 2023",
Government,White House,"President Biden Announces Key Regional Appointments for GSA, HHS			",https://www.whitehouse.gov/briefing-room/statements-releases/2023/01/05/president-biden-announces-key-regional-appointments-for-gsa-hhs/,notes,"January 05, 2023",
Government,White House,Remarks by President Biden on Border Security and Enforcement			,https://www.whitehouse.gov/briefing-room/speeches-remarks/2023/01/05/remarks-by-president-biden-on-border-security-and-enforcement/,notes,"January 05, 2023",
Government,White House,Joint Press Statement Following a Call between the President Joe Biden and the Chancellor of the Federal Republic of Germany Olaf Scholz			,https://www.whitehouse.gov/briefing-room/statements-releases/2023/01/05/joint-press-statement-following-a-call-between-the-president-joe-biden-and-the-chancellor-of-the-federal-republic-of-germany-olaf-scholz/,notes,"January 05, 2023",
Government,White House,"Statement from White House Press Secretary Karine Jean-Pierre on the Shooting in Enoch City, Utah			",https://www.whitehouse.gov/briefing-room/statements-releases/2023/01/05/statement-from-white-house-press-secretary-karine-jean-pierre-on-the-shooting-in-enoch-city-utah/,notes,"January 05, 2023",
Government,White House,FACT SHEET: Biden-⁠Harris Administration Announces New Border Enforcement Actions			,https://www.whitehouse.gov/briefing-room/statements-releases/2023/01/05/fact-sheet-biden-harris-administration-announces-new-border-enforcement-actions/,notes,"January 05, 2023",
Government,White House,Remarks by President Biden After Marine One Arrival			,https://www.whitehouse.gov/briefing-room/speeches-remarks/2023/01/04/remarks-by-president-biden-after-marine-one-arrival-15/,notes,"January 04, 2023",
Government,White House,Remarks by Vice President Harris After Visiting Calumet Fisheries			,https://www.whitehouse.gov/briefing-room/speeches-remarks/2023/01/04/remarks-by-vice-president-harris-after-visiting-calumet-fisheries/,notes,"January 04, 2023",
